CASNumber	CASStandard	ChemicalNumber	Category	SortCAS	SortName	FullChemicalName	Chemical	Added	ToxicitySource	RfCInhale	RfCUF	RfCMF	RfCConf	RfCSource	RfCListingDate	RFDOral	RfDUF	RfDMF	RfDConf	RfDListingDate	RfDSource	UnitRiskInhale	QSTAROral	WOE	UnitRiskListingDate	UnitRiskSource	QStarListingDate	QStarSource	WOEListingDate	WOESource	ITW	OTW	ToxicityClassOral	ToxicityClassInhale	ToxicityCategory	AirDecay	Koc	H2ODecay	LOGKow	Kd	WaterSolubility	POTWPartitionRemoval	POTWPartitionSludge	POTWPartitionVolat	POTWPartitionBiod	IncineratorDRE	BCF	Henrys	MCL	MolecularWeight	T33_50Flag	HAPFlag	CAAFlag	PriorityPollutantFlag	SDWAFlag	CERCLAFlag	OSHACarcinogens	ExpansionFlag	CoreChemicalFlag	MiniCoreChemicalFlag	Core98ChemicalFlag	HPVFlag	HPVChallenge	PBTFlag	Metal	UserTag1	UserTag2	UserTag3	UserTag4	UserTag5	HasTox	MaxTW
"75003"	"75-00-3"	139	"<Not Assigned>"	75003	"Chloroethane (Ethyl chloride)"	"Chloroethane (Ethyl chloride)"	"Chloroethane (Ethyl chloride)"	1987	"IRIS 4/1997"	10.0	300	1	"M"	"IRIS"	"4/1/1991"																0.18	0.18	"Non-carcinogen*"	"Non-carcinogen"	"Non-carcinogen"	0.00105	38	4.22E-15	1.43		5680	84.39	0.65	82.45	16.9	99.0	7.2	0.0111		64.52	0	1	1	1	0	1	0	0	1	1	1	1	"2,4"	0	"CNM"						1	0.18
"67663"	"67-66-3"	140	"<Not Assigned>"	67663	"Chloroform"	"Chloroform"	"Chloroform"	1987	"IRIS 4/1997, IRIS 11/2003, CalEPA 5/2001"	0.3				"CalEPA"	"4/2000"	0.01	1000	1	"M"	"10/19/2002"	"IRIS"	0.023	0.0061	"B2"	"10/19/2001"	"IRIS"	"7/1/1992"	"IRIS"	"7/1/1992"	"IRIS"	160	50	"Non-carcinogen"	"Carcinogen"	"Mixed"	2.78E-4	45	2.48E-8	1.97		7950	70.8	1.34	62.23	36.43	99.0	4.8	0.00367	0.08	119.38	1	1	1	1	1	1	1	0	1	1	1	1	"2"	0	"CNM"						1	160
"74873"	"74-87-3"	141	"<Not Assigned>"	74873	"Chloromethane"	"Chloromethane"	"Chloromethane"	1987	"IRIS 7/2001, HEAST 7/1997"	0.09	1000	1	"M"	"IRIS"	"7/17/2001"							0.0018	0.013	"D"	"7/1997"	"HEAST"	"7/1997"	"HEAST"	"7/17/2001"	"IRIS"	20	2.6	"Carcinogen"	"Non-carcinogen"	"Mixed"	1.18E-4	39	8.53E-5	0.91		5320	87.66	0.5	53.59	45.92	99.0	2.9	0.00882		50.49	0	1	1	1	0	1	0	0	1	1	1	1	"2,4"	0	"CNM"						1	20
"107302"	"107-30-2"	142	"<Not Assigned>"	107302	"Chloromethyl methyl ether"	"Chloromethyl methyl ether"	"Chloromethyl methyl ether"	1987																												0.00621		21.0	0.32		69440	100.0	0.0	0.01	99.98	99.0		0.00030399999999999996		80.51	0	1	1	0	0	1	1	0	1	1	1	1	"0"	0	"CNM"						0	
"N084"	"N084"	143	"<Not Assigned>"	84	"Chlorophenols"	"Chlorophenols"	"Chlorophenols"	1987	"IRIS 4/1997, OPP 11/2003"							0.0015	1000			"12/1997"	"OPP"		0.12	"B2"			"7/1/1993"	"IRIS"	"7/1/1993"	"IRIS"	330	330	"Non-carcinogen"	"Non-carcinogen*"	"Non-carcinogen"	0.0015	4800		5.12		14	96.2	56.27	0.0	43.73	99.0	46	0.0000000245		266.34	0	0	0	0	0	1	1	0	1	1	1	0		0	"CNM"						1	330
"76062"	"76-06-2"	144	"<Not Assigned>"	76062	"Chloropicrin"	"Chloropicrin"	"Chloropicrin"	1995	"CalEPA 11/2003"	4.0E-4				"CalEPA"	"12/2001"																4500	4500	"Non-carcinogen*"	"Non-carcinogen"	"Non-carcinogen"	3.51E-4	81	7.0E-6	2.09		1620	61.7	1.94	80.16	17.89	99.0	23	0.00205		164.38	0	0	0	0	0	0	0	1	0	1	1	0		0	"NM"						1	4500
"126998"	"126-99-8"	145	"<Not Assigned>"	126998	"Chloroprene"	"Chloroprene"	"Chloroprene"	1987	"CalEPA 5/2001, HEAST 7/1997"	0.0010				"CalEPA"	"1/1992"	0.02	100			"7/1997"	"HEAST"										1800	25	"Non-carcinogen"	"Non-carcinogen"	"Non-carcinogen"	0.0595	105	0.0	2.53		874.9	95.71	1.16	92.82	6.02	99.0	49	0.0561		88.54	0	1	0	0	0	1	1	0	1	1	1	1	"2"	0	"CNM"						1	1800
"542767"	"542-76-7"	146	"<Not Assigned>"	542767	"Chloropropionitrile, 3-"	"3-Chloropropionitrile"	"3-Chloropropionitrile"	1995																												2.88E-4	12	0.0013	0.18		47590	45.73	2.36	1.05	96.59	99.0	1.4	0.000014299999999999999		89.53	0	0	0	0	0	1	0	1	0	1	1	0		0	"NM"						0	
"63938103"	"63938-10-3"	147	"<Not Assigned>"	63938103	"Chlorotetrafluoroethane"	"Chlorotetrafluoroethane"	"Chlorotetrafluoroethane"	1994																												0.0136	245		1.86		0.00917	99.53	0.42	98.85	0.72	99.0	15	0.0000153		136.48	0	0	0	0	0	0	0	0	0	1	1	0		0	"NM"						0	
"1897456"	"1897-45-6"	148	"<Not Assigned>"	1897456	"Chlorothalonil"	"Chlorothalonil"	"Chlorothalonil"	1987	"OPP 2/1997, OPP 8/2000"							0.02	100			"10/17/1996"	"OPP"		0.00766	"B"			"10/27/1997"	"OPP"	"10/27/1997"	"OPP"	25	25	"Non-carcinogen"	"Non-carcinogen*"	"Non-carcinogen"	1.65E-5	1820		3.05		0.6	82.03	3.93	0.037	96.04	99.0	120	0.000002		265.91	0	0	0	0	0	0	0	0	1	1	1	0		0	"CNM"						1	25
"75729"	"75-72-9"	149	"<Not Assigned>"	75729	"Chlorotrifluoromethane (CFC-13)"	"Chlorotrifluoromethane (CFC-13)"	"Chlorotrifluoromethane"	1995																													370		1.65		90	99.82	0.35	99.01	0.63	99.0	11	1.3800000000000001		104.46	0	0	0	0	0	0	0	1	0	1	1	0		0	"NM"						0	
"5598130"	"5598-13-0"	150	"<Not Assigned>"	5598130	"Chlorpyrifos methyl (O,O-Dimethyl-O-(3,5,6-trichloro-2-pyrid"	"O,O-Dimethyl-O-(3,5,6-trichloro-2-pyridyl)phosphorothioate"	"Chlorpyrifos methyl"	1995	"OPP 11/2003"							0.0010	100			"5/1999"	"OPP"										500	500	"Non-carcinogen"	"Non-carcinogen*"	"Non-carcinogen"	0.159	3311		4.31		4.76	97.73	22.19	0.041	77.78	99.0	1100	0.00000375		322.54	0	0	0	0	0	0	0	1	0	1	1	0		0	"NM"						1	500
"64902723"	"64902-72-3"	151	"<Not Assigned>"	64902723	"Chlorsulfuron (2-Chloro-N-[[(4-methoxy-6-methyl-1,3,5-triazi"	"2-Chloro-N-[[(4-methoxy-6-methyl-1,3,5-triazin-2-yl)amino]carbonyl]benzenesulfon"	"Chlorsulfuron"	1995	"OPP 11/2003"							0.02	300			"7/2002"	"OPP"										25	25	"Non-carcinogen"	"Non-carcinogen*"	"Non-carcinogen"	0.0068	16		2.0		28000	46.55	2.99	0.0	97.01	99.0	19	0.0000000000000039		357.78	0	0	0	0	0	0	0	1	0	1	1	0		0	"NM"						1	25
"7440473"	"7440-47-3"	152	"<Not Assigned>"	7440473	"Chromium"	"Chromium"	"Chromium"	1987	"IRIS 9/1998"	1.0E-4	300	1	"M"	"IRIS"	"9/3/1998"	0.0030	300	3	"L"	"9/3/1998"	"IRIS"	12.0		"A"	"9/3/1998"	"IRIS"			"9/3/1998"	"IRIS"	86000	170	"Non-carcinogen"	"Carcinogen"	"Mixed"		14		0.23	340	86670	76.4	100.0	0.0	0.0	99.0	16		0.1	52.0	1	1	0	1	1	1	1	0	1	1	1	0		0	"CM"						1	86000
"N090"	"N090"	153	"<Not Assigned>"	90	"Chromium compounds"	"Chromium compounds"	"Chromium compounds"	1987	"IRIS 9/1998"	1.0E-4	300	1	"M"	"IRIS"	"9/3/1998"	0.0030	300	3	"L"	"9/3/1998"	"IRIS"	12.0		"A"	"9/3/1998"	"IRIS"			"9/3/1998"	"IRIS"	86000	170	"Non-carcinogen"	"Carcinogen"	"Mixed"		14		0.23	340	86670	76.4	100.0	0.0	0.0	99.0	16		0.1	52.0	1	1	0	1	0	1	1	0	1	1	1	0		0	"CM"						1	86000
"7440484"	"7440-48-4"	154	"<Not Assigned>"	7440484	"Cobalt"	"Cobalt"	"Cobalt"	1987	"interim derived"	2.0E-5	100		"M -"	"interim derived"	"1/23/1998"							4.8		"B2"	"1/23/1998"	"interim derived"			"1/23/1998"	"interim derived"	90000		"n/a"	"Non-carcinogen"	"Non-carcinogen"		14		0.23	10	87450	32.06	100.0	0.0	0.0		4430			58.93	0	1	0	0	0	0	1	0	1	1	1	0		0	"CM"						1	90000
"N096"	"N096"	155	"<Not Assigned>"	96	"Cobalt compounds"	"Cobalt compounds"	"Cobalt compounds"	1987	"interim derived"	2.0E-5	100		"M -"	"interim derived"	"1/23/1998"							4.8		"B2"	"1/23/1998"	"interim derived"			"1/23/1998"	"interim derived"	90000		"n/a"	"Non-carcinogen"	"Non-carcinogen"		14		0.23	10	87450	32.06	100.0	0.0	0.0		4430			58.93	0	1	0	0	0	1	1	0	1	1	1	0		0	"CM"						1	90000
"7440508"	"7440-50-8"	156	"<Not Assigned>"	7440508	"Copper"	"Copper"	"Copper"	1987	"OPP 8/2000, CalEPA 5/2001"	0.0024				"CalEPA"	"1/1992"									"D"					"9/15/1987"	"OPP"	750	750	"Non-carcinogen*"	"Non-carcinogen"	"Non-carcinogen"	0.0264	14		-0.57	150	420800	72.47	100.0	0.0	0.0	99.9	36	0.0245	1.3	63.55	0	0	0	1	1	1	0	0	1	1	1	0		0	"CM"						1	750
"N100"	"N100"	157	"<Not Assigned>"	100	"Copper compounds"	"Copper compounds"	"Copper compounds"	1987	"OPP 8/2000, CalEPA 5/2001"	0.0024				"CalEPA"	"1/1992"									"D"					"9/15/1987"	"OPP"	750	750	"Non-carcinogen*"	"Non-carcinogen"	"Non-carcinogen"	0.0264	14		-0.57	150	420800	72.47	100.0	0.0	0.0	99.9	36	0.0245	1.3	63.55	0	0	0	0	0	1	0	0	1	1	1	0		0	"CM"						1	750
"8001589"	"8001-58-9"	158	"<Not Assigned>"	8001589	"Creosote"	"Creosote, coal tar"	"Creosote, coal tar"	1990																																	0					99.0					0	0	0	0	0	1	1	0	0	1	1	1	"0"	0	"NM"						0	
"120718"	"120-71-8"	159	"<Not Assigned>"	120718	"Cresidine, p-"	"p-Cresidine"	"p-Cresidine"	1987	"CalEPA 5/2001, interim derived"													0.043	0.15	"B2"	"4/1999"	"CalEPA"		"interim derived"		"interim derived"	310	300	"Carcinogen"	"Carcinogen"	"Carcinogen"	0.543	55		1.74		2810	46.05	2.71	0.0	97.26	99.0	10	0.000000124		137.18	0	0	0	0	0	0	1	0	1	1	1	1	"0"	0	"CNM"						1	310
"95487"	"95-48-7"	160	"<Not Assigned>"	95487	"Cresol, o-"	"o-Cresol"	"o-Cresol"	1987	"IRIS 4/1997, CalEPA 5/2001"	0.6				"CalEPA"	"1/2001"	0.05	1000	1	"M"	"9/1/1990"	"IRIS"			"C"					"8/1/1991"	"IRIS"	3	10	"Non-carcinogen"	"Non-carcinogen"	"Non-carcinogen"	0.113	47		1.95		25900	92.35	0.56	0.011	99.43	99.0	18	0.0000012		108.14	0	1	0	0	0	1	0	0	1	1	1	1	"2"	0	"CNM"						1	10
"106445"	"106-44-5"	161	"<Not Assigned>"	106445	"Cresol, p-"	"p-Cresol"	"p-Cresol"	1987	"IRIS 4/1997, CalEPA 5/2001, HEAST 7/1997"	0.6				"CalEPA"	"1/2001"	0.0050	1000			"7/1997"	"HEAST"			"C"					"8/1/1991"	"IRIS"	3	100	"Non-carcinogen"	"Non-carcinogen"	"Non-carcinogen"	0.127	940		1.94		21500	92.34	0.56	0.011	99.44	99.0	18	0.000001		108.14	0	1	0	0	0	1	0	0	1	1	1	1	"2,4"	0	"CNM"						1	100
"108394"	"108-39-4"	162	"<Not Assigned>"	108394	"Cresol, m-"	"m-Cresol"	"m-Cresol"	1987	"IRIS 4/1997, CalEPA 5/2001"	0.6				"CalEPA"	"1/2001"	0.05	1000	1	"M"	"9/1/1990"	"IRIS"			"C"					"8/1/1991"	"IRIS"	3	10	"Non-carcinogen"	"Non-carcinogen"	"Non-carcinogen"	0.173	35		1.96		22700	92.35	0.56	0.011	99.43	99.0	20	0.000000856		108.14	0	1	0	0	0	1	0	0	1	1	1	1	"2,4"	0	"CNM"						1	10
"1319773"	"1319-77-3"	163	"<Not Assigned>"	1319773	"Cresol (mixed isomers)"	"Cresol (mixed isomers)"	"Cresol (mixed isomers)"	1987	"IRIS 4/1997, CalEPA 5/2001"	0.6				"CalEPA"	"1/2001"	0.05				"9/1/1990"	"IRIS"			"C"					"8/1/1991"	"IRIS"	3	10	"Non-carcinogen"	"Non-carcinogen"	"Non-carcinogen"	0.113	29		1.95		9066	92.37	0.58	0.011	99.42	99.0	18	0.000000619		324.42	0	1	0	0	0	1	0	0	1	1	1	1	"4"	0	"CNM"						1	10
"4170303"	"4170-30-3"	164	"<Not Assigned>"	4170303	"Crotonaldehyde"	"Crotonaldehyde"	"Crotonaldehyde"	1995	"IRIS 4/1997, HEAST 7/1997"														1.9	"C"			"7/1997"	"HEAST"	"6/1/1991"	"IRIS"	380	380	"Carcinogen"	"Carcinogen*"	"Carcinogen"	0.095	5.6000000000000005		0.6		181000	92.27	0.37	1.81	97.83	99.0	3.2	0.00000968		70.09	0	0	1	0	0	1	0	1	0	1	1	1	"0"	0	"NM"						1	380
"98828"	"98-82-8"	165	"<Not Assigned>"	98828	"Cumene"	"Cumene"	"Cumene"	1987	"IRIS 6/2000"	0.4	1000	1	"M"	"IRIS"	"8/1/1997"	0.1	1000	1	"L"	"8/1/1997"	"IRIS"			"D"					"8/1/1997"	"IRIS"	4.5	5	"Non-carcinogen"	"Non-carcinogen"	"Non-carcinogen"	0.0176	454		3.66		61.300000000000004	98.07	6.93	11.35	81.71	99.0	35	0.0115		120.2	0	1	0	0	0	1	0	0	1	1	1	1	"2"	0	"CNM"						1	5
"80159"	"80-15-9"	166	"<Not Assigned>"	80159	"Cumene hydroperoxide"	"Cumene hydroperoxide"	"Cumene hydroperoxide"	1987	"final derived"	0.0055	1000		"L"	"final derived"										"D"						"final derived"	330	330	"Non-carcinogen*"	"Non-carcinogen"	"Non-carcinogen"	0.0233	23		2.16		13900	76.21	1.29	0.0	98.71	99.0	26	0.0000000471		152.19	0	0	0	0	0	1	0	0	1	1	1	1	"2,4"	0	"CNM"						1	330
"135206"	"135-20-6"	167	"<Not Assigned>"	135206	"Cupferron"	"Cupferron"	"Cupferron"	1987	"CalEPA 5/2001, final derived"													0.063	0.22	"B2"	"4/1999"	"CalEPA"		"final derived"		"final derived"	450	440	"Carcinogen"	"Carcinogen"	"Carcinogen"	0.0902	2.9		-1.73		608000	21.97	6.55	0.0	93.45	99.0	3.2	0.00000000362		155.16	0	0	0	0	0	0	1	0	1	1	1	0		0	"CNM"						1	450
"21725462"	"21725-46-2"	168	"<Not Assigned>"	21725462	"Cyanazine"	"Cyanazine"	"Cyanazine"	1995	"OPP 2/1997, OPP 11/2003"							0.0020	100			"6/3/1993"	"OPP"		0.166	"C"			"7/30/1991"	"OPP"	"7/30/1991"	"OPP"	250	250	"Non-carcinogen"	"Non-carcinogen*"	"Non-carcinogen"	0.0252	191		2.22		170	23.52	8.67	0.0	91.33	99.0	29	0.00000000000296		240.7	0	0	0	0	0	0	0	1	0	1	1	0		0	"NM"						1	250
"N106"	"N106"	169	"<Not Assigned>"	106	"Cyanide compounds"	"Cyanide compounds"	"Cyanide compounds"	1987	"IRIS 4/1997"	0.0030	1000	1	"L"	"IRIS"	"11/1/1994"	0.0050	1000	1	"M"	"2/1/1996"	"IRIS"										600	100	"Non-carcinogen"	"Non-carcinogen"	"Non-carcinogen"	8.1E-5	4.5		-1.49		1000000	1.89	92.59	2.65	4.76		3.2	0.000122	0.2	89.56	1	1	0	0	1	1	0	0	1	1	1	0		0	"CNM"						1	600
"1134232"	"1134-23-2"	170	"<Not Assigned>"	1134232	"Cycloate"	"Cycloate"	"Cycloate"	1995	"OPP 2/1997"							0.0050	100			"3/22/1994"	"OPP"										100	100	"Non-carcinogen"	"Non-carcinogen*"	"Non-carcinogen"	0.0955	347		3.88		85	93.92	13.64	0.44	85.92	99.0	520	0.0000067		215.36	0	0	0	0	0	0	0	1	0	1	1	0		0	"NM"						1	100
"110827"	"110-82-7"	171	"<Not Assigned>"	110827	"Cyclohexane"	"Cyclohexane"	"Cyclohexane"	1987	"IRIS 11/2003"	6.0	300	1	"L-M"	"IRIS"	"9/11/2003"																0.3	0.3	"Non-carcinogen*"	"Non-carcinogen"	"Non-carcinogen"	0.0202	480		3.44		55	88.74	6.99	9.14	83.89	99.0	240	0.15		84.16	0	0	0	0	0	1	0	0	1	1	1	1	"2"	0	"CNM"						1	0.3
"108930"	"108-93-0"	172	"<Not Assigned>"	108930	"Cyclohexanol"	"Cyclohexanol"	"Cyclohexanol"	1995																												0.0472	13		1.23		42000	92.22	0.4	0.87	98.73	99.0	5.1	0.0000044		100.16	0	0	0	0	0	0	0	1	0	1	1	1	"4"	0	"NM"						0	
"68359375"	"68359-37-5"	173	"<Not Assigned>"	68359375	"Cyfluthrin (3-(2,2-Dichloroethenyl)-2,2-dimethylcyclopropane"	"3-(2,2-Dichloroethenyl)-2,2-dimethylcyclopropanecarboxylic acid cyano (4-fluoro-"	"Cyfluthrin"	1995	"OPP 11/2003"							0.024	100			"4/2002"	"OPP"			"E"					"2/11/2001"	"OPP"	21	21	"Non-carcinogen"	"Non-carcinogen*"	"Non-carcinogen"	0.037	110000	2.21E-6	5.95		0.003	99.9	37.6	0.0	62.4	99.0	20000	0.000000029		434.3	0	0	0	0	0	0	0	1	0	1	1	0		0	"NM"						1	21
"68085858"	"68085-85-8"	174	"<Not Assigned>"	68085858	"Cyhalothrin"	"Cyhalothrin"	"Cyhalothrin"	1995	"OPP 11/2003"							0.0010	100			"9/2002"	"OPP"			"D"					"9/15/1994"	"OPP"	500	500	"Non-carcinogen"	"Non-carcinogen*"	"Non-carcinogen"	0.085	80000	2.21E-6	6.8		0.005	99.58	52.02	0.0	47.98	99.0	87000	0.00000148		449.86	0	0	0	0	0	0	0	1	0	1	1	0		0	"NM"						1	500
"94757"	"94-75-7"	175	"<Not Assigned>"	94757	"Acetic acid, 2,4-dichlorophenoxy (2,4-D)"	"2,4-D [Acetic acid, 2,4-dichlorophenoxy-]"	"2,4-D ((2,4-dichlorophenoxy)acetic acid)"	1987	"OPP 11/2003"							0.01	100			"1/2002"	"OPP"			"D"					"1/29/1997"	"OPP"	50	50	"Non-carcinogen"	"Non-carcinogen*"	"Non-carcinogen"	0.0179	84	0.0018	2.81		677	93.8	1.71	0.0	98.29	99.0	10	0.0000000354	0.07	221.04	0	1	0	0	1	1	1	0	1	1	1	1	"0"	0	"CNM"						1	50
"94826"	"94-82-6"	176	"<Not Assigned>"	94826	"DB, 2,4-"	"2,4-DB"	"2,4-DB"	1995	"IRIS 4/1997"							0.0080	1000	1	"L"	"8/1/1992"	"IRIS"										63	63	"Non-carcinogen"	"Non-carcinogen*"	"Non-carcinogen"	0.0385	530		3.53		46	88.9	8.29	0.0	91.71	99.0	71	0.00000000229		249.1	0	0	0	0	0	0	0	1	0	1	1	0		0	"NM"						1	63
"120365"	"120-36-5"	177	"<Not Assigned>"	120365	"DP (Dichlorprop), 2,4-"	"2,4-DP (Dichlorprop)"	"2,4-DP (Dichlorprop)"	1995																												0.0308	170		3.43		350	65.84	12.01	0.0	87.97	99.0	240	0.0000000000868		235.07	0	0	0	0	0	0	1	1	0	1	1	0		0	"NM"						0	
"533744"	"533-74-4"	178	"<Not Assigned>"	533744	"Dazomet"	"Dazomet"	"Dazomet"	1995	"OPP 2/1997, OPP 8/2000, OPP 11/2003"							0.0035	100			"11/18/1993"	"OPP"			"D"					"12/7/1993"	"OPP"	140	140	"Non-carcinogen"	"Non-carcinogen*"	"Non-carcinogen"	0.77	53		1.4		3000	96.67	0.17	0.01	99.81	99.0	6.8	0.000000000498		162.28	0	0	0	0	0	0	0	1	0	1	1	1	"0"	0	"NM"						1	140
"53404607"	"53404-60-7"	179	"<Not Assigned>"	53404607	"Dazomet, Sodium salt"	"Dazomet, sodium salt"	"Dazomet, sodium salt"	1995	"OPP 2/1997, OPP 8/2000, OPP 11/2003"							0.0035	100			"11/18/1993"	"OPP"			"D"					"12/7/1993"	"OPP"	140	140	"Non-carcinogen"	"Non-carcinogen*"	"Non-carcinogen"		53		1.4		3000	45.71	2.54	0.0	97.46	99.0	6.8	0.000000000197			0	0	0	0	0	0	0	1	0	1	1	0		0	"NM"						1	140
"1163195"	"1163-19-5"	180	"<Not Assigned>"	1163195	"Decabromodiphenyl oxide"	"Decabromodiphenyl oxide"	"Decabromodiphenyl ether"	1987	"IRIS 4/1997"							0.01	100	1	"L"	"2/1/1995"	"IRIS"			"C"					"1/1/1990"	"IRIS"	50	50	"Non-carcinogen"	"Non-carcinogen*"	"Non-carcinogen"	2.48E-4	33000		12.11		0.025	99.07	62.47	0.0	37.52	99.0	4900	0.0000000119		959.17	0	0	0	0	0	0	0	0	1	1	1	1	"2"	0	"CNM"						1	50
"13684565"	"13684-56-5"	181	"<Not Assigned>"	13684565	"Desmedipham"	"Desmedipham"	"Desmedipham"	1995	"OPP 8/2000, OPP 11/2003"							0.04	100			"11/1998"	"OPP"			"E"					"7/26/1994"	"OPP"	13	13	"Non-carcinogen"	"Non-carcinogen*"	"Non-carcinogen"	0.247	1500	0.0894	3.39		7	90.71	5.2	0.0	94.8	99.0	220	0.000000000169		300.32	0	0	0	0	0	0	0	1	0	1	1	0		0	"NM"						1	13
"117817"	"117-81-7"	182	"<Not Assigned>"	117817	"Di(2-ethylhexyl) phthalate (Bis(2-ethylhexyl) phthalate)"	"Di(2-ethylhexyl) phthalate (Bis(2-ethylhexyl) phthalate)"	"Di(2-ethylhexyl) phthalate"	1987	"IRIS 4/1997, CalEPA 5/2001"	0.07				"CalEPA"	"1/1991"	0.02	1000	1	"M"	"5/1/1991"	"IRIS"	0.0024	0.014	"B2"	"4/1999"	"CalEPA"	"2/1/1993"	"IRIS"	"2/1/1993"	"IRIS"	26	28	"Carcinogen"	"Non-carcinogen"	"Mixed"	0.0593	87400	1.48E-5	7.6		0.27	99.93	38.25	0.0	61.75	99.0	210	0.00000027	0.0060	390.57	0	1	0	1	1	1	1	0	1	1	1	1	"2"	0	"CNM"						1	28
"2303164"	"2303-16-4"	183	"<Not Assigned>"	2303164	"Diallate"	"Diallate"	"Diallate"	1987	"OPP 2/1997, HEAST 7/1997"							0.0050	1000			"7/25/1989"	"OPP"		0.061	"B2"			"7/1997"	"HEAST"	"7/1997"	"HEAST"	120	120	"Carcinogen"	"Carcinogen*"	"Carcinogen"	0.0976	720	1.2E-5	4.49		14	86.49	24.52	0.046	75.43	99.0	1500	0.0000038		270.22	0	0	0	0	0	1	0	0	1	1	1	0		0	"CNM"						1	120
"615054"	"615-05-4"	184	"<Not Assigned>"	615054	"Diaminoanisole, 2,4-"	"2,4-Diaminoanisole"	"2,4-Diaminoanisole"	1987	"CalEPA 7/2001, interim derived"													0.0066		"B2"	"4/1999"	"CalEPA"				"interim derived"	47	47	"Carcinogen*"	"Carcinogen"	"Carcinogen"	0.542	19		-0.31		19500	45.43	2.38	0.0	97.6	99.0	2.4	0.000000000722		138.17	0	0	0	0	0	0	1	0	1	1	1	0		0	"CNM"						1	47
"39156417"	"39156-41-7"	185	"<Not Assigned>"	39156417	"Diaminoanisole sulfate"	"2,4-Diaminoanisole sulfate"	"2,4-Diaminoanisole sulfate"	1987																												0.0564	16		-4.2		1000000	45.43	2.38	0.0	97.6	99.0	3.2	0.00000000000000000000000116		234.23	0	0	0	0	0	0	1	0	1	1	1	0		0	"CNM"						0	
"101804"	"101-80-4"	186	"<Not Assigned>"	101804	"Diaminodiphenylether, 4,4'-"	"4,4'-Diaminodiphenylether"	"4,4'-Diaminodiphenylether"	1987	"final derived"														0.14	"B2"				"final derived"		"final derived"	280	280	"Carcinogen"	"Carcinogen*"	"Carcinogen"	0.54	134		1.36		559.7	76.37	1.35	0.0	98.65	99.0	6.4	0.000000000015		200.24	0	0	0	0	0	0	1	0	1	1	1	1	"0"	0	"CNM"						1	280
"95807"	"95-80-7"	187	"<Not Assigned>"	95807	"Diaminotoluene, 2,4-"	"2,4-Diaminotoluene"	"2,4-Diaminotoluene"	1987	"CalEPA 5/2001, HEAST 7/1997"													1.1	3.2	"B2"	"4/1999"	"CalEPA"	"7/1997"	"HEAST"	"7/1997"	"HEAST"	7900	6400	"Carcinogen"	"Carcinogen"	"Carcinogen"	0.518	9.1		0.14		74820	45.44	2.4	0.0	97.6	99.0	3.2	0.000000000792		122.17	0	1	0	0	0	1	1	0	1	1	1	1	"2"	0	"CNM"						1	7900
"25376458"	"25376-45-8"	188	"<Not Assigned>"	25376458	"Diaminotoluene (mixed isomers)"	"Diaminotoluene (mixed isomers)"	"Diaminotoluene (mixed isomers)"	1987	"interim derived"														23.0	"B2"				"interim derived"		"interim derived"	46000	46000	"Carcinogen"	"Carcinogen*"	"Carcinogen"	0.518	9.1		0.16		74820	84.56	0.57	82.89	16.54	99.0	3.2	0.000000000743		610.86	0	0	0	0	0	1	1	0	1	1	1	1	"2"	0	"CNM"						1	46000
"333415"	"333-41-5"	189	"<Not Assigned>"	333415	"Diazinon"	"Diazinon"	"Diazinon"	1995	"OPP 11/2003"							2.0E-4	100			"11/2000"	"OPP"			"E"					"36424"	"OPP"	2500	2500	"Non-carcinogen"	"Non-carcinogen*"	"Non-carcinogen"	0.261	534		3.81		40	92.99	12.44	0.0	87.56	99.0	460	0.000000113		304.35	0	0	0	0	0	1	0	1	0	1	1	0		0	"NM"						1	2500
"334883"	"334-88-3"	190	"<Not Assigned>"	334883	"Diazomethane"	"Diazomethane"	"Diazomethane"	1987																												0.00252	58		2.0		2549	92.38	0.58	0.0	99.42	99.0	19	0.0000000337		42.04	0	1	0	0	0	1	0	0	1	1	1	0		0	"CNM"						0	
"132649"	"132-64-9"	191	"<Not Assigned>"	132649	"Dibenzofuran"	"Dibenzofuran"	"Dibenzofuran"	1987																												0.0105	8100		4.12		3.1	96.39	18.29	0.23	81.49	99.0	1350	0.000213		168.2	0	1	0	0	0	1	0	0	1	1	1	0		0	"CNM"						0	
"96128"	"96-12-8"	192	"<Not Assigned>"	96128	"Dibromo-3-chloropropane (DBCP), 1,2-"	"1,2-Dibromo-3-chloropropane (DBCP)"	"1,2-Dibromo-3-chloropropane (DBCP)"	1987	"IRIS 4/1997, CalEPA 5/2001, OPP 8/2000"	2.0E-4	1000	1	"M"	"IRIS"	"10/1/1991"							2.0	1.2E-5	"B2"	"4/1999"	"CalEPA"	"no date"	"OPP"	"no date"	"OPP"	14000	0.024	"Carcinogen"	"Carcinogen"	"Carcinogen"	0.00117	130	2.06E-6	2.96		1230	33.45	13.03	15.22	71.78	99.0	100	0.000147	2.0E-4	236.33	0	1	0	0	1	1	1	0	1	1	1	0		0	"CNM"						1	14000
